,isodata,canny,flood_fill
0,0.9714870888719328,0.9588704888830244,0.9629963420452738
1,0.9719611961748936,0.9545743974638614,0.9584750142814396
2,0.9744926185831174,0.9636973472976073,0.9675482268074861
3,0.9808602503142592,0.9618341834825105,0.9651971410787491
4,0.9733175914994097,0.9338819643436895,0.9391014266449003
5,0.9440703644474371,0.9376407484747984,0.9490231863619395
6,0.9407602779871054,0.8484667611728718,0.8631463062789462
7,0.9662963571881532,0.9473357546779458,0.9493192655900851
8,0.9484696255632089,0.9214683315781556,0.93470737913486
9,0.9555921052631579,0.9241879456395881,0.9314858055794519
10,0.9436976207885708,0.917238769663225,0.9347298787210584
11,0.9496625057790107,0.9305282005371531,0.9369138652431107
12,0.6723980721636056,0.899852452969384,0.9152849903021961
13,0.9768244637608655,0.9693791842683861,0.9699516705190167
14,0.9361061704747572,0.9003670686942842,0.9151729193043247
15,0.971486859474379,0.9631969206791509,0.9691971288681847
16,0.9746363003167177,0.9564999098843946,0.962852069318609
17,0.970776731777621,0.957374769491218,0.9639199573917675
18,0.9683864753389809,0.9480572794668083,0.9500556550355709
19,0.9608315211763487,0.9538627159481212,0.9535747684503145
