,names,axis_major_length,axis_minor_length,area
0,01.jpg,406.65144063150115,221.5456607581172,70437
1,02.jpg,462.0694091607201,191.74480388485068,68337
2,03.jpg,479.11449162993773,297.3196006969664,97358
3,04.jpg,451.2531870207678,252.10089228401532,87818
4,05.jpg,369.0600103522897,243.78849005386033,63955
5,06.jpg,255.5612465955241,109.31696307319861,21625
6,07.jpg,356.3398270370082,77.77759911689351,21391
7,08.jpg,293.6637806095889,194.9563636007646,39682
8,09.jpg,226.65809501121328,99.10667426234278,17132
9,10.jpg,194.8554014284213,94.79585294915192,14186
10,11.jpg,175.41175684301987,122.88793813873762,15924
11,12.jpg,431.7258848539172,159.01745613906687,48844
12,13.jpg,161.62091707469622,111.06131134747368,13852
13,14.jpg,503.16205023024935,195.5187967127831,76471
14,15.jpg,297.71441805329926,53.94695981285079,12386
15,16.jpg,549.7066034359743,188.3414915557074,79175
16,17.jpg,470.94245213056234,197.00463339550947,71857
17,18.jpg,364.5478371108046,215.66051021889794,61589
18,19.jpg,400.0028996132361,126.28873906253686,37211
19,20.jpg,718.120212793773,128.35792874832157,71787
