,name,axis_major_length,axis_minor_length,area
0,01_flood_fill.png,415.1557698115238,228.30866538966933,74144
1,02_flood_fill.png,476.626857021106,196.99598697869467,71923
2,03_flood_fill.png,490.2368066380996,303.87236508200294,101912
3,04_flood_fill.png,462.4748856618381,256.82372945940244,91483
4,05_flood_fill.png,390.86828373469837,250.60026134990505,68503
5,06_flood_fill.png,262.8131782122514,114.66501423568984,23319
6,07_flood_fill.png,429.32360084740327,83.22167589993832,24962
7,08_flood_fill.png,300.3672461721998,200.15624614244206,42185
8,09_flood_fill.png,240.52260297866988,104.11209238095445,18907
9,10_flood_fill.png,203.3934511796659,100.4789556839218,15657
10,11_flood_fill.png,189.0896923028998,127.08431856977205,17485
11,12_flood_fill.png,438.2912579303217,165.07759740388857,52852
12,13_flood_fill.png,175.24290847388215,114.44166458375558,15299
13,14_flood_fill.png,511.9002957374811,199.04349716717786,79132
14,15_flood_fill.png,307.71843711222874,59.33447374460319,14153
15,16_flood_fill.png,558.9467306428363,192.3018142584357,82256
16,17_flood_fill.png,487.1683634600198,201.07031240883734,75537
17,18_flood_fill.png,373.87177411861,220.4589171902332,64481
18,19_flood_fill.png,414.4498639018223,130.8948041091006,40018
19,20_flood_fill.png,739.2784130271242,131.27663708292798,75609
