,axis_major_length,axis_minor_length,area
0,124.37874276597776,1.5659783899473647,149
1,0.0,0.0,1
2,3.677088528342677,0.8374020402130087,3
3,5.896459480240757,1.3428306554839582,7
4,379.40370086107623,82.74613613212435,24194
5,4.47213595499958,0.0,4
6,8.0,0.0,7
7,2.0,0.0,2
8,5.656854249492381,0.0,5
9,2.0,0.0,2
10,0.0,0.0,1
11,266.2363047700547,150.0890116231025,495
12,66.96267617113283,0.0,58
13,377.27660005294285,1.7028579899566538,437
14,3.677088528342677,0.8374020402130087,3
15,5.656854249492381,0.0,5
16,300.54227060698753,190.8843053793881,39690
17,470.34694915356937,1.8644972599758356,699
18,281.7445651649735,0.0,244
19,2.0,0.0,2
20,3.23606797749979,1.2360679774997898,4
21,0.0,0.0,1
22,5.656854249492381,0.0,5
23,812.5192142316934,109.47303155141971,945
24,0.0,0.0,1
25,5.656854249492381,0.0,5
26,260.0012446643697,1.90517492096194,328
27,253.9874120733644,103.11599920864313,19601
28,2.0,0.0,2
29,365.83783615251,0.22372598229115523,318
30,0.0,0.0,1
31,0.0,0.0,1
32,2.0,0.0,2
33,2.0,0.0,2
34,5.481304866996842,1.6150412315252294,7
35,2.0,0.0,2
36,6.34001103350453,0.874219706390114,5
37,2.3094010767585034,1.3333333333333333,3
38,2.0,0.0,2
39,2.8284271247461903,0.0,2
40,0.0,0.0,1
41,2.8284271247461903,0.0,2
42,0.0,0.0,1
43,0.0,0.0,1
44,2.0,0.0,2
45,5.656854249492381,0.0,5
